Time	Channel A	Channel B
(ms)	(mV)	(V)

0.76952201	13.48918000	5.79363400
0.76954201	12.69570000	5.79363400
0.76956201	12.69570000	5.79363400
0.76958201	12.69570000	5.79363400
0.76960201	14.28571000	5.79363400
0.76962201	12.69570000	5.71428600
0.76964201	12.69570000	5.79363400
0.76966201	12.69570000	5.71428600
0.76968201	12.69570000	5.71428600
0.76970201	14.28571000	5.71428600
0.76972201	12.69570000	5.71428600
0.76974201	12.69570000	5.79363400
0.76976201	12.69570000	5.79363400
0.76978201	12.69570000	5.71428600
0.76980201	13.48918000	5.79363400
0.76982201	12.69570000	5.71428600
0.76984201	13.48918000	5.79363400
0.76986201	12.69570000	5.79363400
0.76988201	11.10874000	5.79363400
0.76990201	13.48918000	5.79363400
0.76992201	12.69570000	5.79363400
0.76994201	12.69570000	5.79363400
0.76996201	12.69570000	5.79363400
0.76998201	11.90222000	5.71428600
0.77000201	13.48918000	5.79363400
0.77002201	11.90222000	5.79363400
0.77004201	12.69570000	5.79363400
0.77006201	12.69570000	5.79363400
0.77008201	12.69570000	5.79363400
0.77010201	11.90222000	5.79363400
0.77012201	11.10874000	5.79363400
0.77014201	11.90222000	5.79363400
0.77016201	12.69570000	5.79363400
0.77018201	11.90222000	5.79363400
0.77020201	12.69570000	5.79363400
0.77022201	11.90222000	5.79363400
0.77024201	11.90222000	5.71428600
0.77026201	11.90222000	5.79363400
0.77028201	12.69570000	5.79363400
0.77030201	11.10874000	5.79363400
0.77032201	11.90222000	5.79363400
0.77034201	11.10874000	5.79363400
0.77036201	12.69570000	5.79363400
0.77038201	12.69570000	5.79363400
0.77040201	12.69570000	5.79363400
0.77042201	12.69570000	5.79363400
0.77044201	11.90222000	5.79363400
0.77046201	12.69570000	5.79363400
0.77048201	11.10874000	5.79363400
0.77050201	12.69570000	5.79363400
0.77052201	11.10874000	5.79363400
0.77054201	11.10874000	5.79363400
0.77056201	12.69570000	5.79363400
0.77058201	11.90222000	5.79363400
0.77060201	12.69570000	5.79363400
0.77062201	11.10874000	5.79363400
0.77064201	11.10874000	5.79363400
0.77066201	11.10874000	5.79363400
0.77068201	11.90222000	5.79363400
0.77070201	12.69570000	5.79363400
0.77072201	11.10874000	5.79363400
0.77074201	11.90222000	5.79363400
0.77076201	11.10874000	5.79363400
0.77078201	12.69570000	5.79363400
0.77080201	12.69570000	5.79363400
0.77082201	11.10874000	5.79363400
0.77084201	11.10874000	5.71428600
0.77086201	10.31526000	5.79363400
0.77088201	11.10874000	5.79363400
0.77090201	11.10874000	5.79363400
0.77092201	11.10874000	5.79363400
0.77094201	11.10874000	5.79363400
0.77096201	11.10874000	5.71428600
0.77098201	11.10874000	5.71428600
0.77100201	11.10874000	5.79363400
0.77102201	12.69570000	5.79363400
0.77104201	11.10874000	5.79363400
0.77106201	11.10874000	5.79363400
0.77108201	11.10874000	5.79363400
0.77110201	11.90222000	5.79363400
0.77112201	11.90222000	5.79363400
0.77114201	11.10874000	5.79363400
0.77116201	11.90222000	5.79363400
0.77118201	11.10874000	5.79363400
0.77120201	10.31526000	5.79363400
0.77122201	11.10874000	5.79363400
0.77124201	12.69570000	5.79363400
0.77126201	11.10874000	5.79363400
0.77128201	9.52177400	5.79363400
0.77130201	11.10874000	5.79363400
0.77132201	11.10874000	5.79363400
0.77134201	11.10874000	5.79363400
0.77136201	9.52177400	5.79363400
0.77138201	11.10874000	5.79363400
0.77140201	11.10874000	5.79363400
0.77142201	11.10874000	5.79363400
0.77144201	11.10874000	5.79363400
0.77146201	11.10874000	5.79363400
0.77148201	11.10874000	5.79363400
0.77150201	11.10874000	5.79363400
0.77152201	10.31526000	5.79363400
0.77154201	11.10874000	5.79363400
0.77156201	11.10874000	5.79363400
0.77158201	11.10874000	5.79363400
0.77160201	11.10874000	5.79363400
0.77162201	11.10874000	5.79363400
0.77164201	11.10874000	5.79363400
0.77166201	11.10874000	5.79363400
0.77168201	9.52177400	5.79363400
0.77170201	11.10874000	5.79363400
0.77172201	11.10874000	5.79363400
0.77174201	11.10874000	5.79363400
0.77176201	11.10874000	5.79363400
0.77178201	11.10874000	5.79363400
0.77180201	11.10874000	5.79363400
0.77182201	11.90222000	5.79363400
0.77184201	11.10874000	5.79363400
0.77186201	11.10874000	5.79363400
0.77188201	11.10874000	5.79363400
0.77190201	11.10874000	5.79363400
0.77192201	11.10874000	5.79363400
0.77194201	11.10874000	5.79363400
0.77196201	10.31526000	5.79363400
0.77198201	11.10874000	5.79363400
0.77200201	11.10874000	5.79363400
0.77202201	11.10874000	5.79363400
0.77204201	12.69570000	5.79363400
0.77206201	11.90222000	5.79363400
0.77208201	11.10874000	5.79363400
0.77210201	12.69570000	5.79363400
0.77212201	11.10874000	5.79363400
0.77214201	11.10874000	5.71428600
0.77216201	10.31526000	5.79363400
0.77218201	11.10874000	5.79363400
0.77220201	11.10874000	5.79363400
0.77222201	12.69570000	5.79363400
0.77224201	12.69570000	5.79363400
0.77226201	11.10874000	5.79363400
0.77228201	11.10874000	5.79363400
0.77230201	11.90222000	5.79363400
0.77232201	12.69570000	5.79363400
0.77234201	12.69570000	5.79363400
0.77236201	11.90222000	5.79363400
0.77238201	11.10874000	5.79363400
0.77240201	12.69570000	5.79363400
0.77242201	11.10874000	5.79363400
0.77244201	13.48918000	5.79363400
0.77246201	11.10874000	5.79363400
0.77248201	12.69570000	5.79363400
0.77250201	12.69570000	5.79363400
0.77252201	12.69570000	5.79363400
0.77254201	11.90222000	5.79363400
0.77256201	12.69570000	5.79363400
0.77258201	12.69570000	5.79363400
0.77260201	12.69570000	5.79363400
0.77262201	12.69570000	5.79363400
0.77264201	12.69570000	5.79363400
0.77266201	11.10874000	5.79363400
0.77268201	12.69570000	5.79363400
0.77270201	11.90222000	5.79363400
0.77272201	12.69570000	5.79363400
0.77274201	12.69570000	5.79363400
0.77276201	12.69570000	5.79363400
0.77278201	12.69570000	5.79363400
0.77280201	13.48918000	5.79363400
0.77282201	12.69570000	5.79363400
0.77284201	12.69570000	5.79363400
0.77286201	12.69570000	5.79363400
0.77288201	14.28571000	5.79363400
0.77290201	12.69570000	5.79363400
0.77292201	12.69570000	5.79363400
0.77294201	13.48918000	5.79363400
0.77296201	12.69570000	5.71428600
0.77298201	12.69570000	5.79363400
0.77300201	12.69570000	5.79363400
0.77302201	11.90222000	5.79363400
0.77304201	13.48918000	5.79363400
0.77306201	12.69570000	5.79363400
0.77308201	12.69570000	5.79363400
0.77310201	13.48918000	5.79363400
0.77312201	12.69570000	5.71428600
0.77314201	12.69570000	5.79363400
0.77316201	11.90222000	5.79363400
0.77318201	12.69570000	5.79363400
0.77320201	12.69570000	5.79363400
0.77322201	12.69570000	5.79363400
0.77324201	12.69570000	5.71428600
0.77326201	11.90222000	5.79363400
0.77328201	13.48918000	5.79363400
0.77330201	12.69570000	5.79363400
0.77332201	14.28571000	5.79363400
0.77334201	12.69570000	5.79363400
0.77336201	12.69570000	5.79363400
0.77338201	14.28571000	5.79363400
0.77340201	13.48918000	5.79363400
0.77342201	12.69570000	5.79363400
0.77344201	12.69570000	5.79363400
0.77346201	11.90222000	5.79363400
0.77348201	12.69570000	5.79363400
0.77350201	13.48918000	5.79363400
0.77352201	13.48918000	5.79363400
0.77354201	12.69570000	5.79363400
0.77356201	13.48918000	5.79363400
0.77358201	12.69570000	5.79363400
0.77360201	12.69570000	5.79363400
0.77362201	12.69570000	5.79363400
0.77364201	12.69570000	5.79363400
0.77366201	11.10874000	5.79363400
0.77368201	12.69570000	5.79363400
0.77370201	11.10874000	5.79363400
